x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
-18.41771,19.61298,,,,,,,,39,,,,-0.398874,9.787975,6.997294,0.0257794,0.1930259,-0.08617989,3.21246
-18.64151,19.60197,,,,,,,,39.2,,,,12.90666,-1.711375,-3.017652,0.009853696,-0.1124387,0.1223989,3.23226
-18.85538,19.59688,,,,,,,,39.4,,,,-31.59101,12.74769,10.14567,0.1910552,0.1566471,-0.07147925,3.24915
-19.07273,19.59545,,,,,,,,39.6,,,,35.07841,-5.749915,3.343263,-0.1063134,-0.007616641,-0.005379586,3.25834
-19.28829,19.59574,,,,,,,,39.8,,,,4.296155,20.87409,7.573339,-0.07984157,-0.04804343,0.07552725,3.26307
-19.49849,19.60402,,,,,,,,40,,,,7.01118,5.134126,19.32312,0.08207863,0.02593919,0.2232262,3.26142
-19.688,19.61886,,,,,,,,40.2,,,,-14.26849,-15.29272,7.048051,0.0870321,-0.0834102,0.09736517,3.24746
-19.87385,19.63498,,,,,,,,40.4,,,,15.75959,-21.93807,7.021715,-0.06412892,0.09555422,0.2847452,3.23067
-20.05708,19.66187,,,,,,,,40.6,,,,-25.28421,15.48474,9.10084,0.02162487,0.159257,0.4323908,3.2211
-20.24764,19.69516,,,,,,,,40.8,,,,24.65693,0.9141062,10.52395,-0.244638,-0.008522116,0.5676262,3.21016
-20.43338,19.7288,,,,,,,,41,,,,5.685271,6.255092,18.40519,0.0205596,0.1688977,0.295025,3.20126
-20.61414,19.76925,,,,,,,,41.2,,,,-30.20621,-29.20304,8.187212,0.06881608,0.03824299,0.7502657,3.18842
-20.80364,19.82379,,,,,,,,41.4,,,,7.783071,17.66011,4.809951,-0.0898018,-0.0092678,0.416039,3.18584
-20.99056,19.88327,,,,,,,,41.6,,,,33.26791,9.528444,7.929117,-0.07696535,0.3487143,-0.4663728,3.18328
-21.17749,19.93218,,,,,,,,41.8,,,,-3.869988,-27.99827,11.6703,0.2158226,0.0304133,0.4650944,3.18532
-21.36924,19.97501,,,,,,,,42,,,,9.401073,4.814261,8.840829,-0.06775082,0.3889813,0.2150769,3.18753
-21.56363,20.01671,,,,,,,,42.2,,,,25.74198,-35.34416,11.62289,-0.005699165,0.06572682,-0.0267914,3.18978
-21.75584,20.05141,,,,,,,,42.4,,,,-6.442318,-31.65709,9.71184,0.1833853,0.004154531,0.04367584,3.18844
-21.94489,20.06927,,,,,,,,42.6,,,,-71.42478,-19.258,12.17595,0.1449825,0.01784318,-0.2838397,3.18666
-22.1369,20.08756,,,,,,,,42.8,,,,-18.75522,-7.203195,3.181894,-0.08633968,0.1368332,0.2534264,3.17812
-22.3292,20.10554,,,,,,,,43,,,,19.80915,-12.87314,10.09348,-0.02668487,0.1537177,0.3939348,3.16995
